source_record_id,source_row,facility_type,facility_name,address,latitude,longitude,coordinate_status,match_reason,matched_address_key,coordinate_matching_record_count,coordinate_unique_point_count,coordinate_max_pairwise_distance_m,coordinate_source_record_ids,coordinate_source,coordinate_source_url,coordinate_source_as_of,source_url,source_as_of,retrieved_at,construction_status,construction_type,permit_date,start_date,approval_date,main_use,site_area_sqm,coordinate_limitations
15029299:1,1,건축행정기록,노유자시설,인천광역시 연수구 동춘동 786-2 외1필지,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,증축,2026-01-20,2026-01-27,,노유자시설,1768.00,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:2,2,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1도시개발사업구역 25 1,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2026-01-09,2026-03-09,,단독주택,339.20,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:4,4,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1구역 16블럭 5로트,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-10-23,2025-10-30,,단독주택,250.00,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:5,5,건축행정기록,제2종근린생활시설,인천광역시 연수구 옥련동 580-11,,,unmatched,no_exact_parcel_address_in_sbiz,인천광역시|연수구|옥련동|False|580|11,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-09-24,2025-12-29,,제2종근린생활시설,210.00,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:7,7,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1도시개발사업구역 18블록 15로트,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-09-08,2025-09-11,2025-09-24,단독주택,321.00,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:8,8,건축행정기록,제2종근린생활시설,인천광역시 연수구 옥련동 339 외1필지,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-09-08,2025-09-22,,제2종근린생활시설,503.00,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:9,9,건축행정기록,제2종근린생활시설,인천광역시 연수구 청학동 217-55,,,unmatched,no_exact_parcel_address_in_sbiz,인천광역시|연수구|청학동|False|217|55,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2025-08-27,2026-02-09,,제2종근린생활시설,4756.00,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:10,10,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1구역 23 5,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-08-18,2025-09-05,,단독주택,270.80,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:11,11,건축행정기록,제2종근린생활시설,인천광역시 연수구 동춘동 820-14 외3필지,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-08-13,2025-12-22,,제2종근린생활시설,840.40,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:12,12,건축행정기록,제2종근린생활시설,인천광역시 연수구 동춘동 동춘1구역 도시개발사업지구 12 6,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-08-01,2025-08-20,2026-01-09,제2종근린생활시설,343.30,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:13,13,건축행정기록,제1종근린생활시설,인천광역시 연수구 동춘동 698-7,,,unmatched,no_exact_parcel_address_in_sbiz,인천광역시|연수구|동춘동|False|698|7,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-07-24,2025-09-16,,제1종근린생활시설,815.00,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:14,14,건축행정기록,단독주택,인천광역시 연수구 연수동 486-1,,,unmatched,no_exact_parcel_address_in_sbiz,인천광역시|연수구|연수동|False|486|1,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-05-29,2025-07-04,2026-01-23,단독주택,231.50,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
